X,Y,Name,descriptio,timestamp,begin,end,altitudeMo,tessellate,extrude,visibility,drawOrder,icon,Wilaya,moughataa,commune,icon_url
-15.1179915759712,20.4385599307716,لكريبة 2,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.098550086841,20.4386081267148,لكريبة 3,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-6.69921364635229,24.7908393479884,لكريبه الخظره,,,,,,-1,0,-1,,,Tiris Zemour,Fdeirek,Fdeirek,./0.png
-15.52439795807,21.1581622436643,لكويسي,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.5860414076596,20.8451039437205,م .اخنيفسات,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5787921510637,20.8496011700481,م .اخنيفسات لكور,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5787202343345,20.8358223270625,"م,ادشلي",,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.4732222482562,20.9353383164853,م. اديبسات,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-15.2696575038135,20.176998032257,م. لكويسي,,,,,,-1,0,-1,,,Inchiri,Bennechab,Bennechab,./0.png
-15.5258902721107,20.6838328577578,م.5و6,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
-15.5731876753271,20.8164236694574,م.ابيطات,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5683488026261,20.8176324237138,م.اخنيفس 1,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5827720463276,20.8372632600367,م.اخنيفست البتيك1,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5821585748345,20.8376810140908,م.اخنيفست البتيك2,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Boulenouar,./0.png
-15.5155088659376,20.8362139295787,م.اديبوسات,,,,,,-1,0,-1,,,Nauodhibou,Nauodhibou,Inal,./0.png
-14.3804351426661,20.8492868486792,م.اسماليل,,,,,,-1,0,-1,,,Nauodhibou,chami,Tmeimichat,./0.png
